id,name,type,typecode,address,location,tel,pname,cityname,adname,business_area,photos,lng,lat,rating,price_level,popularity,surrounding_population,competitors,transport
B0H2FXMGE3,外婆家(领展中心城店),餐饮服务;中餐厅;江苏菜,050105,福华一路3号领展中心城L层,"114.059336,22.536194",0755-23915520,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/query_pic?id=st59fb6d0a-48a0-477f-b3eb-f95cdffc5190&user=search&operate=original'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0H2FXMGE3/comment/5d22d91e7b80771840ca51fe4497a818_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0H2FXMGE3/comment/0cb8c910515e290dca838d543a88d10f_2048_2048_80.jpg'}]",114.059336,22.536194,3.8,4,70,11000,2,0.7
B02F38JBCI,香乐园中餐厅(深圳福田香格里拉店),餐饮服务;餐饮相关场所;餐饮相关,050000,益田路4088号福田香格里拉二层,"114.058082,22.536540",0755-21513835;0755-21513838;15816885740,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/2e1b1759e7d12b3ed723b3c42d05d2f9'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/357cc527c748604e813ffa69f227bd5e'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/2140293f7f5c217c959f0d5aa8524557'}]",114.058082,22.53654,4.0,1,80,14000,3,0.8
B0KDR4NITU,五稻厨房(福华店),餐饮服务;中餐厅;中餐厅,050100,福华一路6号免税商务大厦F2层(福田地铁站8号口旁),"114.054997,22.537122",0755-83228548;19129358983,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0KDR4NITU/comment/2117afe40bdeda2f2944b519e848a0b8_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KDR4NITU/comment/7b7cac393e95f75e4ddc32a027d2c7bf_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KDR4NITU/comment/0654a4992addd29013ebf6dbb131da18_2048_2048_80.jpg'}]",114.054997,22.537122,4.2,2,90,17000,4,0.9
B02F37VSTC,大渔铁板烧(领展中心城店),餐饮服务;外国餐厅;日本料理,050202,福华一路3号怡景中心城L层FL1002-3,"114.059181,22.536014",0755-82801802;0755-82801803,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/a9bf5caa281ba8b0252b75a2edd37825'}, {'title': [], 'url': 'https://aos-comment.amap.com/B02F37VSTC/comment/content_media_external_file_100001689_1745332515694_13412262.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B02F37VSTC/comment/84acbb04d3a5328eef45e7ab2e4213f9_2048_2048_80.jpg'}]",114.059181,22.536014,4.5,2,100,20000,5,0.5
B0FFGQHFID,八合里牛肉火锅(深圳购物公园店),餐饮服务;中餐厅;火锅店,050117,福田街道民田路138号购物公园北园2层,"114.054405,22.536505",0755-88605746,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/d3d667a29e535c27f51d4778292727fb'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFGQHFID/comment/cb57fce418617b711cafcf11a500aa9c_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFGQHFID/comment/content_media_external_file_46022_ss__1750574428221_96830023.jpg'}]",114.054405,22.536505,4.7,3,110,23000,6,0.6
B0FFL7CW5F,Ensue,餐饮服务;外国餐厅;外国餐厅,050200,益田路4088号(福田香格里拉大酒店40楼),"114.057079,22.536362",0755-86223133;18823437333,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0FFL7CW5F/comment/C72449E7_936A_42CD_A38F_A575448D153D_L0_001_IMG_5311.JPG'}, {'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0FFL7CW5F/comment/DC49977A_80FD_45C9_A004_14C9930E6A53_L0_001_IMG_5308.JPG'}, {'title': [], 'url': 'https://comment-oss-online.oss-cn-wulanchabu.aliyuncs.com/B0FFL7CW5F/comment/BC8C8C33_0D31_41C1_9722_B79AE6E5F64C_L0_001_IMG_5306.JPG'}]",114.057079,22.536362,4.9,3,120,26000,7,0.7
B0JUS7LTEA,幸福小串·地摊小炉子(领展中心城店),餐饮服务;中餐厅;中餐厅,050100,领展中心城L层西侧外连廊(同顺居旁),"114.059166,22.536224",0755-83179084,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/aab263802b8df29738f2b6b5c09e8060'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0JUS7LTEA/comment/81a44e11e432819b1a2441e325c773e2_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0JUS7LTEA/comment/d1494b2d65a71cdfa8c804764a17d79f_2048_2048_80.jpg'}]",114.059166,22.536224,3.8,4,130,29000,8,0.8
B0IK0HO5DF,同仁四季椰子鸡(领展中心城店),餐饮服务;外国餐厅;日本料理,050202,福田街道福安社区福华一路3号怡景中心城L1006,"114.060287,22.536180",0755-82577357;0755-83329584;0755-88377374,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://store.is.autonavi.com/showpic/f814228fd106281cf59558e984768bb0'}, {'title': [], 'url': 'https://store.is.autonavi.com/showpic/c96412a3c00bade6d57ce8cf2e1cbdf7'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0IK0HO5DF/comment/1a303410da2b7083d68116263140e0d8_2048_2048_80.jpg'}]",114.060287,22.53618,4.0,1,140,32000,9,0.9
B02F37VX9P,麦当劳(深圳领展中心城分店),餐饮服务;快餐厅;麦当劳,050302,福华一路中华国际交易广场西侧中心层G层,"114.059180,22.535717",0755-82801521,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B02F37VX9P/comment/21BBB9A5_90C2_4DCF_A3F4_5173CCBDC6FD_L0_001_1500_200_1752043774835_65696872.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B02F37VX9P/comment/IMG_20250609_190628_tem_1749467199918_46359388.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B02F37VX9P/comment/IMG_20250609_182400_tem_1749464647877_23223696.jpg'}]",114.05918,22.535717,4.2,2,150,35000,10,0.5
B0J1NHJIPK,西塔老太太泥炉烤肉(领展中心城店),餐饮服务;中餐厅;特色/地方风味餐厅,050118,福华一路3号领展中心城M层,"114.059130,22.535756",0755-23618441,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0J1NHJIPK/comment/content_media_external_images_media_100008667_1744566856462_80990407.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0J1NHJIPK/comment/content_media_external_images_media_100008667_1744566856462_68762671.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0J1NHJIPK/comment/2a02712c8428649aad1f2bb6bb0d4e4b_2048_2048_80.jpg'}]",114.05913,22.535756,4.5,2,160,38000,11,0.6
B0H1KR46ZA,雍雅合鲜(卓悦中心北区店),餐饮服务;中餐厅;中餐厅,050100,岗厦社区深南大道2005号卓悦中心北区N105-N106号商铺,"114.064285,22.538608",0755-23890577;17765579628,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0H1KR46ZA/comment/a66e0138a16bb7048f518230319bd3d2_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0H1KR46ZA/comment/d0543283b3a56ef432a59ee6f7467d24_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0H1KR46ZA/comment/content_media_external_file_100006935_1755585192698_69598173.jpg'}]",114.064285,22.538608,4.7,3,170,41000,12,0.7
B0FFKW4A7W,火璽(福田店),餐饮服务;餐饮相关场所;餐饮相关,050000,福田街道福安社区深南大道4019号航天大厦A105-A110A119-A121,"114.051227,22.538408",0755-88999941,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/db7c46e184c1874dce3aa367f4f1b2c9'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/ec47ddbfba19657caf0a23166a5cf19d'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFKW4A7W/comment/8b54f5525e3e920662dcb69af2e1a9a9_2048_2048_80.jpg'}]",114.051227,22.538408,4.9,3,180,44000,13,0.8
B0J15HWFTG,艾雷牛排馆LA.PRIME STEAKHOUSE,餐饮服务;外国餐厅;牛扒店(扒房),050211,One Avenue卓悦中心北区1层N113-N114,"114.064514,22.538423",0755-88608675,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0J15HWFTG/comment/7e5288d15a724fee41950a1e70135374_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0J15HWFTG/comment/a24f9d8c61929280b6766ce515c7ba60_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0J15HWFTG/comment/b3be39e64ce2eae29a4fc5320d54e60b_2048_2048_80.jpg'}]",114.064514,22.538423,3.8,4,190,47000,14,0.9
B0KAYZZNZ3,冯校长老火锅(深圳福田店),餐饮服务;中餐厅;火锅店,050117,民田路138号深圳购物公园,"114.054449,22.536345",18129980580,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0KAYZZNZ3/comment/50ed7e57bd526a0f2ec65f9953c623df_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KAYZZNZ3/comment/445e522cd3a18ea908a178719471f2d6_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0KAYZZNZ3/comment/0e433f4375f658b1904feefbebbb1901_2048_2048_80.jpg'}]",114.054449,22.536345,4.0,1,50,5000,0,0.5
B0LATYZEX0,鸟鹏烧鸟居酒屋(购物公园店),餐饮服务;外国餐厅;日本料理,050202,福田街道福安社区民田路138号城建购物公园北园216,"114.054366,22.536488",19166268996,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0LATYZEX0/comment/content_media_external_file_4212_1751590059918_54713427.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/603ccf0b55287b261ad45130906fe9df'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0LATYZEX0/comment/content_media_external_file_1000028346_ss__1752999279364_63444757.jpg'}]",114.054366,22.536488,4.2,2,60,8000,1,0.6
B0HRCDLQ18,蛙来哒(领展中心城店),餐饮服务;餐饮相关场所;餐饮相关,050000,福田街道福安社区福华一路3号领展购物广场B1层,"114.059136,22.535933",17881495046;19129516404,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/query_pic?id=st0e361e90-f834-44d2-ba23-cd96c9bcbc83&user=search&operate=original'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/205b3049cbc2be0eb92354bee047199e'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0HRCDLQ18/comment/content_media_external_images_media_1952_1725934730772_92891425.jpg'}]",114.059136,22.535933,4.5,2,70,11000,2,0.7
B0K1GH1AKM,怂火锅厂,公司企业;公司企业;公司企业,170000,福华一路3号领展中心城M层023铺,"114.059551,22.535990",[],广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/query_pic?id=staa85dc05-2e03-4288-9126-7fd2efa8419d&user=search&operate=original'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/65ed987cf069723f3bb2fae6d52886a7'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0J0GDARWS/comment/8dd4b5fc8b91d5c705d2de8135bf09c6_2048_2048_80.jpg'}]",114.059551,22.53599,4.7,3,80,14000,3,0.8
B0IGZHYTKS,哈里哈·黑牛私厨,餐饮服务;中餐厅;中餐厅,050100,民田路79号深圳购物公园F2层,"114.054419,22.536420",0755-83215408,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0IGZHYTKS/comment/c2c748b62b763d53da6dc5c92ac565a7_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0IGZHYTKS/comment/46ee3238037751b4c8da642157bb1b24_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0IGZHYTKS/comment/323f0297a0d33ba9ec03b5f77a629081_2048_2048_80.jpg'}]",114.054419,22.53642,4.9,3,90,17000,4,0.9
B0FFHCGIWC,顺意·顺德家乡菜(中心商务大厦店),餐饮服务;中餐厅;中餐厅,050100,福华一路88号中心商务大厦3层,"114.052837,22.537192",0755-23914877;0755-23914878,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/84c45841ec04477f6329903c07b9eacf'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/7bf3cecd2796e0c7ce466a546090432c'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/7db71ca9e6c2e4e2ff105d5dca1565cd'}]",114.052837,22.537192,3.8,4,100,20000,5,0.5
B0H0RRDU20,王品牛排(深圳卓悦中心店),餐饮服务;外国餐厅;西餐厅(综合风味)|餐饮服务;外国餐厅;牛扒店(扒房),050201|050211,深南大道2005号卓悦中心北区L2层N210,"114.064593,22.538238",0755-61306699;0755-66611688;18898798152,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/4614c1bb0c9741400ab84bafe5f9bf49'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0H0RRDU20/comment/5b43e82826a184b97c36cec1c22bac4a_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/e9c155241489465131477aa619c6f1df'}]",114.064593,22.538238,4.0,1,110,23000,6,0.6
B0FFKSTNXH,海底捞火锅(大中华店),餐饮服务;中餐厅;火锅店,050117,福田街道福安社区福华一路1号深圳大中华国际交易广场L4-11,"114.061454,22.535677",0755-28115266;0755-28115366,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/90284d28c68fced0fb6f7fdc84640040'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0FFKSTNXH/comment/9682707c532120502f2d6ee171e02200_2048_2048_80.jpg'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/b27b74e5889ddd552dd6a96046dea8e6'}]",114.061454,22.535677,4.2,2,120,26000,7,0.7
B0J2ZZI7W2,码头见|潮汕菜(领展中心城店),餐饮服务;中餐厅;广东菜(粤菜),050103,福华一路领展中心城G层008A铺,"114.060136,22.535913",17322368920,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0J2ZZI7W2/comment/960076f887e5da881a7430c1ca7d9cc9_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0J2ZZI7W2/comment/8359b7df0787a58902d53cec8dd1eef7_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0J2ZZI7W2/comment/a1472569433a3a41011e1146003a56cd_2048_2048_80.jpg'}]",114.060136,22.535913,4.5,2,130,29000,8,0.8
B0G3K1MX1F,鸟剑居酒屋(购物公园店),餐饮服务;外国餐厅;日本料理,050202,福田街道民田路138号城建购物公园北园107,"114.053750,22.536471",13760730299,广东省,深圳市,福田区,[],"[{'title': [], 'url': 'https://aos-comment.amap.com/B0G3K1MX1F/comment/2ad33beeada637267933205e3bba30f6_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0G3K1MX1F/comment/c8233b13d0fb4f7c41a77b8786056372_2048_2048_80.jpg'}, {'title': [], 'url': 'https://aos-comment.amap.com/B0G3K1MX1F/comment/content_media_external_file_100000141_1750148883767_51046174.jpg'}]",114.05375,22.536471,4.7,3,140,32000,9,0.9
